Date,AAPL,GE,GOOG,IBM,MSFT
2011-11-17,46.912113189697266,11.50236701965332,299.3131103515625,140.96263122558594,21.066390991210938
2011-11-18,46.6050910949707,11.509721755981445,296.32928466796875,140.59075927734375,20.868419647216797
2011-11-21,45.86799621582031,11.208187103271484,289.38531494140625,137.73703002929688,20.620967864990234
2011-11-22,46.80024719238281,11.02432632446289,288.91705322265625,137.60801696777344,20.447757720947266
2011-11-23,45.616905212402344,10.833113670349121,283.99053955078125,135.05792236328125,20.18381118774414
2011-11-25,45.19179916381836,10.811046600341797,280.4488220214844,134.38238525390625,20.043581008911133
2011-11-28,46.75177001953125,10.884592056274414,292.99676513671875,138.2910919189453,20.51374626159668
2011-11-29,46.388816833496094,10.972848892211914,290.3765869140625,137.3271484375,20.488994598388672
2011-11-30,47.50751876831055,11.700937271118164,298.57586669921875,142.6855010986328,21.099376678466797
2011-12-01,48.21974563598633,11.700937271118164,305.739013671875,143.7859344482422,20.851926803588867
2011-12-02,48.43977355957031,11.833314895629883,309.0216979980469,143.9453887939453,20.802440643310547
2011-12-05,48.8511848449707,12.009828567504883,311.6568298339844,144.84092712402344,21.198362350463867
2011-12-06,48.59514236450195,12.296650886535645,310.7203369140625,146.43479919433594,21.16536521911621
2011-12-07,48.36393737792969,12.311355590820312,310.53106689453125,147.27719116210938,21.115873336791992
2011-12-08,48.5590934753418,11.995118141174316,306.874755859375,145.40255737304688,20.950908660888672
2011-12-09,48.92702865600586,12.384902000427246,312.5385437011719,147.66429138183594,21.198362350463867
2011-12-12,48.70576477050781,12.105433464050293,311.5273132324219,145.85791015625,21.04163360595703
2011-12-13,48.32914352416992,12.076014518737793,311.6468811035156,145.07623291015625,21.24785041809082
2011-12-14,47.25766372680664,12.215749740600586,307.8809814453125,143.23190307617188,21.10762596130371
2011-12-15,47.1023063659668,12.348128318786621,308.6132507324219,142.29080200195312,21.0828800201416
2011-12-16,47.36083984375,12.509927749633789,311.8112487792969,139.3232879638672,21.445810317993164
2011-12-19,47.508758544921875,12.399611473083496,309.75396728515625,138.80715942382812,21.058134078979492
2011-12-20,49.21662902832031,12.708499908447266,314.0080261230469,142.1086883544922,21.470561981201172
2011-12-21,49.27879333496094,13.010031700134277,311.74151611328125,137.72940063476562,21.24785041809082
2011-12-22,49.53981399536133,13.408804893493652,313.6742858886719,138.16209411621094,21.289093017578125
2011-12-23,50.13396072387695,13.54251766204834,315.3878479003906,140.21885681152344,21.470561981201172
2011-12-27,50.53173065185547,13.379088401794434,318.9295654296875,140.3706817626953,21.478801727294922
